model,scramble,solve_rate,avg_steps
ppo_cube_129201920_steps.zip,20,0.19,573.7368421052631
ppo_cube_129201920_steps.zip,25,0.2,543.55
ppo_cube_130001920_steps.zip,1,1.0,1.0
ppo_cube_130001920_steps.zip,2,0.91,1.5604395604395604
ppo_cube_130001920_steps.zip,3,0.93,1.903225806451613
ppo_cube_130001920_steps.zip,5,0.83,11.939759036144578
ppo_cube_130001920_steps.zip,7,0.7,39.74285714285714
ppo_cube_130001920_steps.zip,10,0.47,121.82978723404256
ppo_cube_130001920_steps.zip,12,0.38,209.92105263157896
ppo_cube_130001920_steps.zip,15,0.42,185.95238095238096
ppo_cube_130001920_steps.zip,17,0.33,268.1515151515151
ppo_cube_130001920_steps.zip,20,0.36,245.58333333333334
ppo_cube_130001920_steps.zip,25,0.24,441.7916666666667
ppo_cube_130801920_steps.zip,1,1.0,1.0
ppo_cube_130801920_steps.zip,2,0.93,1.5591397849462365
ppo_cube_130801920_steps.zip,3,0.92,2.0869565217391304
ppo_cube_130801920_steps.zip,5,0.78,23.974358974358974
ppo_cube_130801920_steps.zip,7,0.76,34.76315789473684
ppo_cube_130801920_steps.zip,10,0.52,99.5
ppo_cube_130801920_steps.zip,12,0.43,171.3953488372093
ppo_cube_130801920_steps.zip,15,0.35,252.65714285714284
ppo_cube_130801920_steps.zip,17,0.34,273.55882352941177
ppo_cube_130801920_steps.zip,20,0.2,543.75
ppo_cube_130801920_steps.zip,25,0.17,702.0
ppo_cube_131601920_steps.zip,1,1.0,1.0
ppo_cube_131601920_steps.zip,2,0.93,1.5376344086021505
ppo_cube_131601920_steps.zip,3,0.95,2.0842105263157893
ppo_cube_131601920_steps.zip,5,0.8,15.8125
ppo_cube_131601920_steps.zip,7,0.73,38.24657534246575
ppo_cube_131601920_steps.zip,10,0.55,101.49090909090908
ppo_cube_131601920_steps.zip,12,0.43,164.1860465116279
ppo_cube_131601920_steps.zip,15,0.34,246.97058823529412
ppo_cube_131601920_steps.zip,17,0.26,361.8076923076923
ppo_cube_131601920_steps.zip,20,0.31,327.0
ppo_cube_131601920_steps.zip,25,0.18,637.1666666666666
ppo_cube_132401920_steps.zip,1,1.0,1.0
ppo_cube_132401920_steps.zip,2,0.92,1.5543478260869565
ppo_cube_132401920_steps.zip,3,0.92,2.0434782608695654
ppo_cube_132401920_steps.zip,5,0.82,13.78048780487805
ppo_cube_132401920_steps.zip,7,0.72,40.25
ppo_cube_132401920_steps.zip,10,0.52,110.3076923076923
ppo_cube_132401920_steps.zip,12,0.45,158.11111111111111
ppo_cube_132401920_steps.zip,15,0.42,185.52380952380952
ppo_cube_132401920_steps.zip,17,0.3,304.03333333333336
ppo_cube_132401920_steps.zip,20,0.35,243.77142857142857
ppo_cube_132401920_steps.zip,25,0.19,597.2631578947369
ppo_cube_133201920_steps.zip,1,1.0,1.0
ppo_cube_133201920_steps.zip,2,0.98,1.5714285714285714
ppo_cube_133201920_steps.zip,3,0.95,1.9157894736842105
ppo_cube_133201920_steps.zip,5,0.84,11.880952380952381
ppo_cube_133201920_steps.zip,7,0.71,39.46478873239437
ppo_cube_133201920_steps.zip,10,0.55,89.18181818181819
ppo_cube_133201920_steps.zip,12,0.46,147.02173913043478
ppo_cube_133201920_steps.zip,15,0.3,295.03333333333336
ppo_cube_133201920_steps.zip,17,0.3,325.1333333333333
ppo_cube_133201920_steps.zip,20,0.22,483.90909090909093
